Optuna Metadata
Method,Optuna
Target,Net Profit %
Total Trials,11579
Completed Trials,127
Pruned Trials,11452
Best Trial Number,11288
Best Value,1266.7027
Optimization Time,300m 13s

Fixed Parameters
Parameter Name,Value
stopLongRR,3
stopShortRR,3
trailRRLong,1
trailRRShort,1

MA Type,MA Length,CC L,CC S,St L X,St L LP,St S X,St S LP,St L Max %,St S Max %,St L Max D,St S Max D,Tr L Type,Tr L Len,Tr L Off,Tr S Type,Tr S Len,Tr S Off,Net Profit%,Max DD%,Trades,Score,RoMaD,Sharpe,PF,Ulcer,Recover,Consist
DEMA,75,4,5,1.2,4,1.5,2,4.0,5.0,7,5,DEMA,200,-2.5,DEMA,200,1.0,561.36%,26.67%,163,39.21,21.05,1.29,1.68,4.00,21.05,83.33
HMA,475,4,7,1.2,4,2.1,2,3.0,3.0,6,2,KAMA,100,-2.5,KAMA,75,0.0,557.12%,11.11%,126,85.35,50.12,1.93,2.37,2.84,50.12,100.00
HMA,475,3,10,1.3,2,1.7,2,8.0,4.0,5,2,SMA,150,-2.5,SMA,175,1.0,555.77%,31.42%,118,19.84,17.69,0.89,1.70,7.07,17.69,66.67
HMA,475,4,7,1.8,2,1.4,2,9.0,9.0,7,2,KAMA,175,-2.0,KAMA,125,0.0,542.74%,21.05%,130,68.11,25.78,2.70,1.97,3.82,25.78,100.00
EMA,25,3,3,1.1,2,1.1,2,6.0,7.0,4,7,DEMA,200,-2.5,DEMA,200,0.5,541.57%,26.92%,217,30.04,20.12,1.32,1.58,5.43,20.12,83.33
HMA,500,3,6,1.3,2,1.5,2,7.0,10.0,6,3,KAMA,200,-2.5,KAMA,125,0.0,540.65%,17.43%,117,75.87,31.01,2.10,2.18,3.54,31.01,100.00
TMA,100,3,5,1.2,2,1.0,2,8.0,3.0,6,7,DEMA,125,-3.0,DEMA,25,1.5,540.45%,33.88%,208,15.08,15.95,0.71,1.62,5.85,15.95,66.67
WMA,100,7,6,1.1,3,2.1,2,3.0,5.0,6,5,DEMA,150,-3.0,DEMA,200,0.5,538.51%,24.77%,181,38.03,21.74,1.55,1.60,5.40,21.74,83.33
DEMA,125,3,2,1.8,2,1.7,3,9.0,7.0,7,7,DEMA,200,-3.0,DEMA,150,1.0,526.84%,13.42%,157,72.13,39.24,1.54,1.81,3.10,39.24,100.00
HMA,425,4,6,1.1,2,1.1,2,10.0,9.0,4,2,KAMA,175,-2.0,KAMA,125,0.0,524.32%,34.72%,162,26.57,15.10,1.51,1.68,7.29,15.10,83.33
HMA,500,2,5,2.0,2,1.2,2,9.0,8.0,6,2,T3,125,-2.5,T3,100,0.0,519.12%,26.81%,134,54.53,19.36,1.70,1.79,3.46,19.36,100.00
HMA,75,4,6,1.0,2,1.4,4,7.0,4.0,5,6,DEMA,125,-3.0,DEMA,150,0.5,517.46%,32.10%,241,12.80,16.12,0.87,1.43,6.27,16.12,83.33
DEMA,75,8,3,1.5,2,1.1,4,10.0,7.0,6,7,DEMA,175,-3.0,DEMA,175,0.0,516.24%,42.15%,191,13.90,12.25,1.30,1.44,8.65,12.25,83.33
HMA,150,2,2,1.3,3,1.7,3,6.0,8.0,7,5,DEMA,200,-2.5,DEMA,200,1.0,513.75%,19.43%,157,43.15,26.44,1.06,1.71,4.16,26.44,83.33
DEMA,50,6,2,1.3,2,1.2,4,9.0,6.0,6,6,DEMA,200,-2.5,DEMA,175,0.5,510.77%,29.48%,199,19.02,17.32,0.98,1.41,4.67,17.32,66.67
T3,50,6,10,1.3,4,1.1,3,7.0,6.0,6,6,DEMA,150,-2.5,DEMA,175,0.5,508.94%,20.64%,181,52.48,24.66,1.70,1.65,3.93,24.66,100.00
DEMA,125,5,3,1.0,3,1.2,2,10.0,8.0,5,5,DEMA,175,-2.5,DEMA,125,1.0,507.23%,27.22%,209,34.29,18.64,1.29,1.57,4.60,18.64,100.00
DEMA,175,4,5,1.2,2,1.5,2,10.0,5.0,5,6,ALMA,175,-3.0,ALMA,25,2.0,500.09%,25.82%,179,52.05,19.37,2.94,1.78,5.10,19.37,100.00
HMA,500,3,9,1.4,2,1.5,3,7.0,3.0,7,2,ALMA,175,-3.0,ALMA,200,0.5,499.74%,24.00%,128,53.82,20.82,1.42,2.21,4.45,20.82,100.00
HMA,500,4,9,2.5,2,1.4,2,10.0,3.0,4,3,DEMA,175,-3.0,DEMA,125,1.0,496.46%,17.87%,128,74.69,27.77,2.40,2.03,3.26,27.77,100.00
HMA,475,2,6,1.6,2,1.1,3,10.0,6.0,7,3,KAMA,75,-2.5,KAMA,50,0.0,496.36%,14.59%,142,70.51,34.02,1.21,2.26,3.25,34.02,100.00
ALMA,75,6,3,1.2,3,1.1,3,7.0,9.0,6,6,DEMA,200,-2.5,DEMA,200,1.0,494.70%,23.85%,169,28.58,20.74,1.26,1.50,5.11,20.74,83.33
DEMA,250,3,5,1.0,2,1.8,2,9.0,8.0,3,7,DEMA,200,-3.0,DEMA,50,1.5,494.40%,25.73%,172,50.59,19.22,2.78,1.75,4.69,19.22,100.00
TMA,175,2,5,1.1,2,1.1,2,8.0,4.0,5,6,DEMA,125,-3.0,DEMA,50,1.0,494.31%,17.40%,164,38.23,28.41,0.61,1.68,4.45,28.41,83.33
HMA,175,2,3,1.5,2,1.1,5,8.0,6.0,6,6,DEMA,200,-3.0,DEMA,175,1.0,487.74%,16.11%,155,69.29,30.28,2.05,1.84,3.66,30.28,100.00
TMA,50,3,2,1.1,2,1.6,2,10.0,6.0,5,5,DEMA,200,-3.0,DEMA,150,0.0,480.50%,42.23%,241,2.83,11.38,0.60,1.41,8.75,11.38,83.33
DEMA,250,3,2,1.8,2,1.0,3,8.0,6.0,6,6,DEMA,200,-2.5,DEMA,200,0.0,473.42%,26.49%,158,34.25,17.87,1.28,1.74,4.23,17.87,83.33
WMA,25,4,4,1.0,2,1.0,4,9.0,6.0,3,6,WMA,100,-2.5,WMA,75,0.5,471.97%,26.47%,255,33.70,17.83,1.79,1.45,5.73,17.83,100.00
TMA,250,3,4,1.1,2,1.0,2,9.0,6.0,5,6,ALMA,150,-3.0,ALMA,25,2.0,471.21%,40.60%,150,13.94,11.61,0.90,1.73,5.93,11.61,83.33
WMA,25,4,6,1.2,3,1.5,3,3.0,5.0,6,3,DEMA,200,-2.0,DEMA,200,1.0,470.62%,23.34%,189,36.26,20.17,1.34,1.52,3.78,20.17,83.33
HMA,500,2,6,1.2,2,1.0,4,5.0,5.0,6,5,WMA,125,-1.0,WMA,175,0.0,462.43%,28.70%,156,36.10,16.11,1.14,1.96,4.09,16.11,83.33
HMA,475,3,8,2.2,2,1.0,2,9.0,4.0,5,5,DEMA,150,-2.5,DEMA,100,0.0,456.60%,17.59%,146,62.24,25.96,1.41,1.92,3.32,25.96,100.00
DEMA,125,4,6,1.0,2,1.3,3,9.0,3.0,7,7,DEMA,125,-3.0,DEMA,50,1.0,455.84%,26.81%,219,26.46,17.00,1.27,1.53,5.49,17.00,100.00
HMA,500,4,8,1.5,2,1.8,3,10.0,3.0,4,4,DEMA,100,-3.0,DEMA,50,1.0,454.86%,26.87%,144,40.75,16.93,1.30,1.92,4.75,16.93,100.00
