Optuna Metadata
Method,Optuna
Target,Net Profit %
Total Trials,647
Completed Trials,96
Pruned Trials,551
Best Trial Number,573
Best Value,523.7438
Optimization Time,10m 6s

Fixed Parameters
Parameter Name,Value
stopLongRR,3
stopShortRR,3
stopLongMaxDays,6
stopShortMaxDays,6
trailRRLong,1
trailRRShort,1

MA Type,MA Length,CC L,CC S,St L X,St L LP,St S X,St S LP,St L Max %,St S Max %,Tr L Type,Tr L Len,Tr L Off,Tr S Type,Tr S Len,Tr S Off,Net Profit%,Max DD%,Trades,Score,RoMaD,Sharpe,PF,Ulcer,Recover,Consist
SMA,300,10,4,2.4,2,1.1,2,8.0,5.0,T3,50,-1.5,T3,150,1.5,230.92%,21.96%,106,51.15,10.52,1.44,1.80,4.19,10.52,100.00
SMA,375,9,6,1.9,2,1.8,2,6.0,3.0,EMA,125,0.0,EMA,125,0.0,230.57%,12.81%,84,81.77,18.00,1.64,2.19,3.16,18.00,83.33
SMA,300,9,8,2.2,2,1.8,2,10.0,7.0,EMA,50,-2.5,EMA,150,1.0,227.99%,21.43%,104,56.67,10.64,1.48,1.88,4.28,10.64,100.00
SMA,325,9,9,1.9,3,1.1,3,6.0,7.0,T3,50,-1.5,T3,125,0.0,225.64%,19.53%,96,49.27,11.56,1.14,1.98,4.37,11.56,83.33
SMA,300,10,8,2.3,4,1.5,4,9.0,6.0,T3,75,-1.5,T3,125,1.0,225.47%,21.64%,100,58.59,10.42,1.56,2.09,3.75,10.42,83.33
SMA,300,9,10,2.2,3,1.1,4,7.0,9.0,EMA,25,-2.5,EMA,100,1.5,224.28%,22.16%,102,49.01,10.12,1.58,1.81,4.38,10.12,100.00
SMA,325,9,4,2.5,2,1.0,2,9.0,7.0,EMA,25,-1.5,EMA,150,0.5,223.34%,19.52%,108,44.90,11.44,1.06,1.83,3.75,11.44,83.33
SMA,300,10,2,1.9,4,1.0,3,3.0,9.0,T3,75,-2.0,T3,125,2.0,220.28%,21.11%,114,61.35,10.43,4.52,1.87,4.14,10.43,100.00
SMA,300,10,8,2.1,4,1.2,4,5.0,8.0,T3,100,-2.5,T3,100,2.5,214.05%,22.59%,98,56.56,9.48,2.03,1.98,4.39,9.48,100.00
SMA,325,9,9,1.8,3,1.7,2,5.0,4.0,EMA,100,-0.5,EMA,125,0.0,212.52%,21.15%,94,45.31,10.05,1.34,1.95,4.36,10.05,83.33
DEMA,175,6,6,2.3,3,1.0,4,8.0,10.0,T3,75,-1.5,T3,75,0.5,210.21%,23.99%,195,24.11,8.76,1.11,1.39,5.08,8.76,100.00
SMA,400,8,7,2.1,3,1.5,2,10.0,5.0,EMA,25,-2.0,EMA,175,1.0,209.97%,12.37%,80,71.93,16.97,1.28,2.17,3.59,16.97,83.33
SMA,275,9,5,1.2,4,1.5,2,7.0,7.0,T3,125,-2.5,T3,100,1.5,209.31%,29.53%,112,34.79,7.09,1.89,1.64,5.51,7.09,100.00
SMA,300,8,9,1.6,2,1.2,2,6.0,5.0,EMA,75,-0.5,EMA,75,0.0,207.33%,22.47%,106,27.40,9.23,0.91,1.84,4.98,9.23,83.33
SMA,275,10,10,2.0,2,1.4,3,10.0,6.0,EMA,50,-2.5,EMA,75,0.5,202.11%,30.04%,104,21.30,6.73,1.27,1.69,5.75,6.73,83.33
SMA,350,8,7,2.1,4,1.2,4,7.0,8.0,EMA,50,-2.0,EMA,100,2.0,199.04%,18.59%,92,48.39,10.71,1.30,1.84,4.08,10.71,83.33
SMA,300,8,6,1.9,2,1.9,2,7.0,3.0,EMA,150,0.0,EMA,100,0.0,194.50%,16.03%,110,60.94,12.13,1.21,1.87,3.54,12.13,100.00
SMA,325,8,9,2.3,3,1.0,4,6.0,9.0,EMA,25,-2.0,EMA,100,2.0,192.68%,20.04%,98,45.68,9.61,1.45,1.83,4.42,9.61,100.00
SMA,325,9,5,1.7,5,1.7,3,9.0,9.0,EMA,100,-2.0,EMA,50,0.5,191.17%,12.91%,98,71.46,14.81,1.22,2.11,3.35,14.81,100.00
SMA,325,6,9,1.7,2,1.1,2,9.0,8.0,T3,25,-1.5,T3,175,0.5,189.89%,27.46%,104,21.67,6.92,1.06,1.75,4.95,6.92,83.33
SMA,300,9,8,2.2,3,1.1,3,7.0,6.0,EMA,125,0.0,EMA,125,2.5,188.07%,23.78%,104,39.79,7.91,1.62,1.68,4.56,7.91,100.00
SMA,250,8,9,2.1,2,1.3,2,6.0,3.0,T3,125,0.0,T3,75,1.5,184.75%,27.63%,118,30.47,6.69,1.42,1.72,5.01,6.69,100.00
SMA,225,10,3,2.3,3,1.0,2,9.0,7.0,EMA,50,-1.5,EMA,150,0.0,172.11%,27.20%,124,20.26,6.33,1.19,1.61,4.63,6.33,83.33
SMA,275,9,8,2.1,2,1.6,2,10.0,7.0,EMA,25,-2.0,EMA,125,1.5,168.06%,26.08%,102,29.64,6.44,1.58,1.66,4.70,6.44,83.33
DEMA,150,10,2,2.1,2,1.9,3,7.0,8.0,EMA,50,-0.5,EMA,50,1.0,166.66%,24.70%,197,24.27,6.75,1.09,1.45,3.69,6.75,83.33
DEMA,50,10,3,1.4,3,1.6,5,9.0,4.0,EMA,75,-0.5,EMA,100,2.0,156.32%,22.32%,164,24.17,7.00,0.93,1.43,3.54,7.00,66.67
DEMA,150,5,4,1.9,3,1.0,3,9.0,9.0,EMA,125,-0.5,EMA,50,1.5,149.40%,32.84%,199,3.85,4.55,0.79,1.30,5.97,4.55,83.33
SMA,300,9,10,1.6,2,1.8,2,9.0,4.0,T3,25,-2.5,T3,50,0.0,144.02%,18.00%,102,26.93,8.00,0.59,1.74,3.79,8.00,66.67
DEMA,225,10,8,2.0,2,1.1,4,8.0,8.0,EMA,75,-2.0,EMA,25,0.5,141.44%,26.51%,144,24.17,5.34,0.89,1.50,3.67,5.34,100.00
SMA,225,10,10,2.1,2,1.2,4,9.0,8.0,EMA,25,-2.0,EMA,50,1.0,128.35%,20.07%,112,40.99,6.39,1.91,1.57,3.73,6.39,100.00
SMA,350,7,10,2.3,4,1.3,4,5.0,9.0,T3,25,-1.5,T3,50,1.0,125.98%,13.70%,88,39.17,9.19,0.89,1.87,3.13,9.19,83.33
DEMA,125,10,2,2.8,2,1.6,2,6.0,6.0,EMA,25,-0.5,EMA,25,1.0,123.20%,24.04%,223,23.12,5.13,1.19,1.33,3.64,5.13,83.33
SMA,250,10,2,1.7,3,1.2,5,10.0,5.0,EMA,25,-0.5,EMA,150,1.5,117.45%,27.02%,110,21.88,4.35,1.35,1.60,5.13,4.35,100.00
DEMA,50,10,2,2.3,2,2.1,2,6.0,9.0,EMA,25,-1.0,EMA,25,1.0,116.30%,34.45%,275,7.71,3.38,0.93,1.24,4.67,3.38,66.67
DEMA,225,9,4,2.0,2,1.4,3,8.0,8.0,EMA,75,-1.0,EMA,25,0.0,115.01%,27.67%,178,6.41,4.16,0.55,1.36,4.82,4.16,83.33
SMA,125,5,2,1.9,4,1.0,3,10.0,8.0,EMA,125,-1.5,EMA,75,2.0,112.05%,20.90%,144,17.50,5.36,1.20,1.43,4.79,5.36,83.33
DEMA,150,10,2,1.6,2,1.9,4,7.0,5.0,EMA,50,0.0,EMA,50,1.0,111.62%,22.16%,203,17.60,5.04,1.11,1.33,4.19,5.04,83.33
DEMA,75,10,4,1.9,3,1.4,5,8.0,3.0,EMA,50,-0.5,EMA,125,2.0,109.65%,25.78%,181,11.72,4.25,1.01,1.30,4.32,4.25,66.67
SMA,500,4,2,2.2,2,2.1,6,6.0,9.0,T3,25,-2.5,T3,175,1.5,108.71%,10.77%,71,67.19,10.09,1.89,2.08,1.77,10.09,100.00
DEMA,125,8,3,1.1,3,2.8,5,8.0,6.0,EMA,50,0.0,EMA,50,0.5,106.48%,22.49%,220,16.51,4.74,0.88,1.32,3.64,4.74,83.33
