Optuna Metadata
Method,Optuna
Target,Net Profit %
Total Trials,11818
Completed Trials,417
Pruned Trials,11401
Best Trial Number,8846
Best Value,10381.4264
Optimization Time,300m 12s

Fixed Parameters
Parameter Name,Value
stopLongRR,3
stopShortRR,3
trailRRLong,1
trailRRShort,1

MA Type,MA Length,CC L,CC S,St L X,St L LP,St S X,St S LP,St L Max %,St S Max %,St L Max D,St S Max D,Tr L Type,Tr L Len,Tr L Off,Tr S Type,Tr S Len,Tr S Off,Net Profit%,Max DD%,Trades,Score,RoMaD,Sharpe,PF,Ulcer,Recover,Consist
EMA,25,9,8,1.2,2,1.0,2,3.0,3.0,2,3,T3,200,-0.5,T3,100,0.0,1726.21%,35.95%,235,59.54,48.02,1.33,1.86,5.04,48.02,100.00
DEMA,75,5,3,1.4,2,1.3,2,7.0,4.0,3,6,T3,200,0.0,T3,25,0.0,1724.76%,25.66%,331,69.68,67.23,2.29,1.53,3.70,67.23,100.00
T3,25,7,6,1.0,2,1.2,2,3.0,5.0,5,3,T3,200,0.0,T3,125,0.0,1721.04%,27.14%,261,61.62,63.42,1.59,1.53,4.21,63.42,100.00
SMA,25,4,7,1.1,2,1.3,2,6.0,4.0,3,3,T3,200,0.0,T3,75,1.5,1719.56%,27.41%,239,63.94,62.73,1.40,1.73,4.78,62.73,100.00
DEMA,25,5,3,1.0,2,1.5,3,3.0,3.0,4,4,T3,200,0.0,T3,25,0.0,1716.73%,27.41%,400,73.35,62.62,2.43,1.66,3.94,62.62,100.00
DEMA,25,9,2,1.0,2,1.4,4,8.0,4.0,7,7,T3,200,0.0,T3,25,0.0,1702.09%,23.29%,345,76.57,73.07,1.84,1.74,3.90,73.07,100.00
DEMA,25,9,6,1.0,2,1.0,2,5.0,5.0,6,7,T3,175,0.0,T3,50,0.5,1695.40%,22.99%,333,75.83,73.74,1.64,1.75,3.76,73.74,100.00
ALMA,75,8,3,1.1,3,2.1,2,8.0,3.0,7,6,T3,150,0.0,T3,25,0.0,1691.66%,18.96%,301,83.15,89.24,2.26,1.72,2.79,89.24,100.00
ALMA,75,3,4,1.0,2,1.0,3,8.0,4.0,4,3,T3,175,0.0,T3,50,0.0,1680.25%,25.61%,357,44.15,65.61,0.87,1.58,4.99,65.61,83.33
DEMA,25,6,5,1.1,2,1.7,5,3.0,10.0,4,7,T3,200,0.0,T3,25,0.0,1672.59%,35.62%,304,68.62,46.96,2.80,2.01,6.18,46.96,100.00
DEMA,75,8,5,1.4,2,1.3,4,6.0,3.0,7,7,T3,200,0.0,T3,25,1.0,1656.59%,25.09%,267,82.22,66.03,2.66,1.76,3.30,66.03,100.00
ALMA,125,8,6,1.0,2,1.2,2,3.0,3.0,3,3,T3,200,0.0,T3,75,0.0,1652.02%,31.24%,259,57.99,52.88,1.18,1.75,4.63,52.88,100.00
DEMA,50,8,2,1.0,3,1.9,3,6.0,3.0,5,6,T3,200,0.0,T3,25,0.5,1621.06%,22.78%,286,82.77,71.17,1.85,1.87,2.92,71.17,100.00
TMA,25,6,8,1.1,2,1.0,2,5.0,4.0,2,2,T3,200,-0.5,T3,25,0.0,1617.57%,30.03%,353,51.71,53.86,1.28,1.55,4.84,53.86,100.00
ALMA,50,4,7,1.4,2,1.1,2,5.0,4.0,6,2,T3,200,-0.5,T3,75,0.5,1610.55%,29.21%,287,48.13,55.13,1.30,1.53,4.87,55.13,83.33
DEMA,125,7,6,1.5,2,1.2,2,7.0,7.0,7,6,T3,200,0.0,T3,25,0.5,1592.16%,20.93%,233,88.33,76.06,3.55,2.07,3.25,76.06,100.00
TMA,50,9,7,1.1,2,1.3,2,7.0,5.0,2,2,T3,200,-0.5,T3,100,0.0,1589.69%,46.84%,223,40.42,33.94,1.29,1.71,7.18,33.94,83.33
DEMA,100,4,3,1.1,3,1.6,2,3.0,5.0,4,6,T3,200,0.0,T3,25,0.5,1562.57%,23.31%,309,65.56,67.05,1.63,1.61,3.61,67.05,83.33
WMA,25,10,7,1.1,2,1.0,3,4.0,5.0,6,6,T3,200,-0.5,T3,100,0.0,1556.26%,31.33%,239,39.50,49.67,1.12,1.47,4.84,49.67,83.33
EMA,25,4,6,1.0,3,1.5,3,4.0,6.0,5,2,T3,200,0.0,T3,100,0.5,1554.57%,18.62%,237,74.82,83.51,1.40,1.72,2.85,83.51,100.00
ALMA,25,5,6,1.0,2,1.1,2,3.0,3.0,4,3,T3,200,0.0,T3,100,0.5,1546.56%,33.12%,317,53.63,46.70,1.35,1.61,4.37,46.70,100.00
ALMA,50,5,7,1.2,2,1.3,2,5.0,5.0,3,2,T3,200,0.0,T3,75,0.5,1524.23%,23.62%,291,57.91,64.52,1.32,1.52,3.90,64.52,100.00
SMA,25,8,2,1.1,3,1.7,4,5.0,10.0,2,7,T3,150,0.0,T3,25,0.0,1520.45%,28.22%,310,52.93,53.88,1.18,1.64,4.91,53.88,100.00
EMA,25,4,7,1.0,2,1.9,2,3.0,6.0,3,2,T3,200,0.0,T3,75,0.5,1517.90%,44.70%,265,55.23,33.95,1.91,1.71,5.56,33.95,100.00
T3,25,10,6,1.3,3,1.7,2,4.0,4.0,2,3,T3,200,0.0,T3,25,0.5,1517.19%,15.92%,283,82.13,95.30,2.06,1.72,2.89,95.30,100.00
DEMA,100,4,2,1.0,2,1.3,2,4.0,5.0,4,6,T3,175,0.0,T3,100,0.0,1500.81%,37.09%,261,43.98,40.46,1.23,1.68,5.59,40.46,83.33
KAMA,25,8,6,1.0,2,1.2,3,3.0,8.0,2,4,T3,200,0.0,T3,25,0.0,1477.44%,29.74%,287,55.65,49.67,1.64,1.53,4.66,49.67,100.00
DEMA,75,9,4,1.2,2,1.0,5,8.0,3.0,6,6,T3,200,0.0,T3,25,0.0,1473.12%,26.88%,255,61.02,54.80,1.36,1.62,3.78,54.80,100.00
